APPL_ID,SITE_ID,CLNT_NAME,FREQ,FREQ_PAIR,BWIDTH,EQ_MDL,STN_NAME,STN_ADDR,SID_LONG,SID_LAT,CIRCUIT_LEN,LAT_DEG,LAT_MIN,LAT_SEC,LAT_DIR_IND,LONG_DEG,LONG_MIN,LONG_SEC,LONG_DIR_IND,CURR_LIC_NUM,APPL_DATE,TO_APPL_ID,MASA_LAKU,STASIUN_LAWAN,TO_LAT_DEG,TO_LAT_MIN,TO_LAT_SEC,TO_LAT_DIR_IND,TO_LONG_DEG,TO_LONG_MIN,TO_LONG_SEC,TO_LONG_DIR_IND
27846062018,1,"INDOSAT TBK, PT.",15271,14781,28000,15G_XMC2_128Q_28M_157M,030061_SD Impres - Parak Tanjung,"Jl SD Impres Parak Tanjung Jorong Biaro Nagari Biaro Gadang Kec Ampek Angkek,Parak Tanjung - Ampek Angkek,Padang,Sumatra Barat",100.4337306,-0.29013056,3.37,0,17,24.47,S,100,26,1.43,E,02040310-000SU/2620182023,6-Jun-18,27846062018,7-Jun-26,030195_Baso,0,17,7.6,S,100,27,49.19,E
2.46E+12,1,"INDOSAT TBK, PT.",22442,,28000,23G_XMC2_128Q_28M_157M,030659_PAKAN LADANG,JL. RAYA TIGO BALEH KOTO KACIAK PAKAN LADANG KEC.AUR KUNING TIGO BALEH KODYA BUKIT TINGGI,100.4028111,-0.31143889,1.421,0,18,41.18,S,100,24,10.12,E,02496853-000SU/2620212026,23-Jan-26,2.46E+12,1-Nov-26,030700_PINTU ANGIN,0,17,55.275,S,100,24,7.875,E
2.46E+12,1,"INDOSAT TBK, PT.",22358,,28000,23G_XMC2_128Q_28M_157M,030659_PAKAN LADANG,JL. RAYA TIGO BALEH KOTO KACIAK PAKAN LADANG KEC.AUR KUNING TIGO BALEH KODYA BUKIT TINGGI,100.4028111,-0.31143889,1.421,0,18,41.18,S,100,24,10.12,E,02496857-000SU/2620212026,23-Jan-26,2.46E+12,1-Nov-26,030700_PINTU ANGIN,0,17,55.275,S,100,24,7.875,E
2.31E+12,1,"INDOSAT TBK, PT.",7331,,28000,7G_XMC2_128Q_28M_157M,030192_PARIT PUTUS,"JL. LINTAS PAYAKUMBUH - BUKIT TINGGI, JORONG TANJUNG ALAM,,NAGARI BIARO GADANG, KECAMATAN AMPE ANGKEK CANDUANG, KABUPATEN AGAM,PADANG,SUMATRA BARAT",100.4104389,-0.29318889,12.18,0,17,35.48,S,100,24,37.58,E,02417442-000SU/2620212026,25-Mar-25,2.31E+12,25-Jan-27,038001_BUKIT TINGGI,0,23,43.125,S,100,22,9.975,E
2.46E+12,1,"INDOSAT TBK, PT.",22134,23142,28000,23G_XMC2_128Q_28M_157M,030659_PAKAN LADANG,JL. RAYA TIGO BALEH KOTO KACIAK PAKAN LADANG KEC.AUR KUNING TIGO BALEH KODYA BUKIT TINGGI,100.4028028,-0.311475,1.41,0,18,41.31,S,100,24,10.09,E,02497119-000SU/2620212026,2-Nov-21,2.46E+12,2-Nov-26,030700_PINTU ANGIN,0,17,55.47,S,100,24,8.25,E
2.06E+12,2,"INDOSAT TBK, PT.",23366,22358,28000,23G_XMC2_256Q_28M_183M,030704_KAMPUANG NAN LIMO,"Bonjo Alam, Agam, Sumatera Barat, Sumatera, 26126, Indonesia",100.4021875,-0.2986875,1.412,0,17,55.275,S,100,24,7.875,E,02933847-000SU/2620242029,7-Nov-24,2.06E+12,13-Nov-26,030659_PAKAN LADANG,0,18,41.18,S,100,24,10.12,E
2.15E+12,2,"XLSMART TELECOM SEJAHTERA, PT.",13171,12905,28000,FIBEAIR IP-20C (13GHZ),NPDG_0103_PINTU ANGIN,"Bonjo Alam, Agam, Sumatera Barat, Sumatera, 26126, Indonesia",100.4021875,-0.2986875,5.612,0,17,55.275,S,100,24,7.875,E,,5-Jun-24,2.15E+12,5-May-26,NPDG_0106_KAMANG MAGEK (BUKAN DALAM KOTA),0,15,2.475,S,100,25,6.825,E
2.46E+12,2,"INDOSAT TBK, PT.",23226,,28000,23G_XMC2_128Q_28M_157M,030700_PINTU ANGIN,"Bonjo Alam, Agam, Sumatera Barat, Sumatera, 26126, Indonesia",100.4021875,-0.2986875,1.421,0,17,55.275,S,100,24,7.875,E,02496856-000SU/2620212026,23-Jan-26,2.46E+12,1-Nov-26,030659_PAKAN LADANG,0,18,41.18,S,100,24,10.12,E
2.46E+12,2,"INDOSAT TBK, PT.",23450,,28000,23G_XMC2_128Q_28M_157M,030700_PINTU ANGIN,"Bonjo Alam, Agam, Sumatera Barat, Sumatera, 26126, Indonesia",100.4021875,-0.2986875,1.421,0,17,55.275,S,100,24,7.875,E,02496854-000SU/2620212026,23-Jan-26,2.46E+12,1-Nov-26,030659_PAKAN LADANG,0,18,41.18,S,100,24,10.12,E
2.52E+12,1,"XLSMART TELECOM SEJAHTERA, PT.",23310,22302,28000,ZXMW NR8961 23G,SSG_0670-NPDG_0051-SD Inpres - Parak Tanjung,"Jl. SD Impres Parak Tanjung Jorong Biaro, Kel. Nagari Biaro Gadang, Kec. Ampek Angkek Parak Tanjung - Ampek Angkek, Kab. Padang",100.4352722,-0.29130278,1.2,0,17,28.69,S,100,26,6.98,E,02536639-000SU/2620222027,11-Feb-22,2.52E+12,13-Feb-26,IN20_NS_0066-NPDG_0306-AMPANG GADANG_AGAM,0,17,17.3,S,100,26,44.1,E
2.06E+12,2,"INDOSAT TBK, PT.",23450,22442,28000,23G_XMC2_256Q_28M_183M,030704_KAMPUANG NAN LIMO,"Bonjo Alam, Agam, Sumatera Barat, Sumatera, 26126, Indonesia",100.4021875,-0.2986875,1.412,0,17,55.275,S,100,24,7.875,E,02933917-000SU/2620242029,7-Nov-24,2.06E+12,13-Nov-26,030659_PAKAN LADANG,0,18,41.18,S,100,24,10.12,E
2.46E+12,2,"INDOSAT TBK, PT.",23142,22134,28000,23G_XMC2_128Q_28M_157M,030700_PINTU ANGIN,"JORONG PARIT PUTUIH, NAGARI AMPANG GADANG, KENAGARIAN AMPEK ANGKEK, KABUPATEN AGAM, PROPINSI SUMATERA BARAT",100.4022917,-0.29874167,1.41,0,17,55.47,S,100,24,8.25,E,02497120-000SU/2620212026,2-Nov-21,2.46E+12,2-Nov-26,030659_PAKAN LADANG,0,18,41.31,S,100,24,10.09,E
